date,indicator,value,unit,source,source_url,updated_at,frequency,confidence,status
2025-05-31,china_new_orders_pmi,48.3,index,财新网,https://www.caixin.com/,2026-07-05T00:03:11.629924,monthly,C,confirmed
2025-06-30,china_new_orders_pmi,50.4,index,财新网,https://www.caixin.com/,2026-08-04T10:01:30.687869,monthly,C,confirmed
2025-07-31,china_new_orders_pmi,49.5,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.505353,monthly,C,confirmed
2025-08-31,china_new_orders_pmi,50.5,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.505471,monthly,C,confirmed
2025-09-30,china_new_orders_pmi,51.2,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.505602,monthly,C,confirmed
2025-10-31,china_new_orders_pmi,50.6,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.505714,monthly,C,confirmed
2025-11-30,china_new_orders_pmi,49.9,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.505822,monthly,C,confirmed
2025-12-31,china_new_orders_pmi,50.1,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.505930,monthly,C,confirmed
2026-01-31,china_new_orders_pmi,50.3,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.506037,monthly,C,confirmed
2026-02-28,china_new_orders_pmi,52.1,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.506144,monthly,C,confirmed
2026-03-31,china_new_orders_pmi,50.8,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.506290,monthly,C,confirmed
2026-04-30,china_new_orders_pmi,52.2,index,财新网,https://www.caixin.com/,2026-08-13T00:01:41.506400,monthly,C,confirmed
2026-05-01,china_new_orders_pmi,49.9,index,国家统计局,https://www.stats.gov.cn/,2026-08-13T00:01:57.217147,monthly,A,confirmed
2026-06-01,china_new_orders_pmi,51.2,index,国家统计局,https://www.stats.gov.cn/,2026-08-13T00:01:57.217171,monthly,A,confirmed
2026-07-01,china_new_orders_pmi,48.5,index,国家统计局,https://www.stats.gov.cn/,2026-08-13T00:01:57.217184,monthly,A,confirmed
2025-06-01,china_pmi,49.7,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-07-06T10:42:43.343443,monthly,A,confirmed
2025-07-01,china_pmi,49.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-05T00:04:07.687988,monthly,A,confirmed
2025-08-01,china_pmi,49.4,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.440200,monthly,A,confirmed
2025-09-01,china_pmi,49.8,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.440149,monthly,A,confirmed
2025-10-01,china_pmi,49.0,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.440109,monthly,A,confirmed
2025-11-01,china_pmi,49.2,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.440068,monthly,A,confirmed
2025-12-01,china_pmi,50.1,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.440027,monthly,A,confirmed
2026-01-01,china_pmi,49.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439985,monthly,A,confirmed
2026-02-01,china_pmi,49.0,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439943,monthly,A,confirmed
2026-03-01,china_pmi,50.4,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439900,monthly,A,confirmed
2026-04-01,china_pmi,50.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439855,monthly,A,confirmed
2026-05-01,china_pmi,50.0,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439792,monthly,A,confirmed
2026-06-01,china_pmi,50.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439716,monthly,A,confirmed
2026-07-01,china_pmi,49.2,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-13T00:01:38.439641,monthly,A,confirmed
2026-03-16,comex_inventory,171455.0,ton,金属库存监控,,2026-08-13T00:01:57.217195,daily,B,confirmed
2026-03-17,comex_inventory,172689.0,ton,金属库存监控,,2026-08-13T00:01:57.217204,daily,B,confirmed
2026-03-18,comex_inventory,173237.0,ton,金属库存监控,,2026-08-13T00:01:57.217213,daily,B,confirmed
2026-03-19,comex_inventory,169777.0,ton,金属库存监控,,2026-08-13T00:01:57.217221,daily,B,confirmed
2026-03-20,comex_inventory,173668.0,ton,金属库存监控,,2026-08-13T00:01:57.217230,daily,B,confirmed
2026-03-21,comex_inventory,171872.0,ton,金属库存监控,,2026-08-13T00:01:57.217238,daily,B,confirmed
