date,indicator,value,unit,source,source_url,updated_at,frequency,confidence,status
2025-05-31,china_new_orders_pmi,48.3,index,财新网,https://www.caixin.com/,2026-07-05T00:03:11.629924,monthly,C,confirmed
2025-06-30,china_new_orders_pmi,50.4,index,财新网,https://www.caixin.com/,2026-08-04T10:01:30.687869,monthly,C,confirmed
2025-07-31,china_new_orders_pmi,49.5,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638094,monthly,C,confirmed
2025-08-31,china_new_orders_pmi,50.5,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638215,monthly,C,confirmed
2025-09-30,china_new_orders_pmi,51.2,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638331,monthly,C,confirmed
2025-10-31,china_new_orders_pmi,50.6,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638443,monthly,C,confirmed
2025-11-30,china_new_orders_pmi,49.9,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638552,monthly,C,confirmed
2025-12-31,china_new_orders_pmi,50.1,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638662,monthly,C,confirmed
2026-01-31,china_new_orders_pmi,50.3,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638772,monthly,C,confirmed
2026-02-28,china_new_orders_pmi,52.1,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.638893,monthly,C,confirmed
2026-03-31,china_new_orders_pmi,50.8,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.639014,monthly,C,confirmed
2026-04-30,china_new_orders_pmi,52.2,index,财新网,https://www.caixin.com/,2026-08-18T00:04:29.639126,monthly,C,confirmed
2026-05-01,china_new_orders_pmi,49.9,index,国家统计局,https://www.stats.gov.cn/,2026-08-18T00:04:53.549799,monthly,A,confirmed
2026-06-01,china_new_orders_pmi,51.2,index,国家统计局,https://www.stats.gov.cn/,2026-08-18T00:04:53.549811,monthly,A,confirmed
2026-07-01,china_new_orders_pmi,48.5,index,国家统计局,https://www.stats.gov.cn/,2026-08-18T00:04:53.549819,monthly,A,confirmed
2025-06-01,china_pmi,49.7,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-07-06T10:42:43.343443,monthly,A,confirmed
2025-07-01,china_pmi,49.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-05T00:04:07.687988,monthly,A,confirmed
2025-08-01,china_pmi,49.4,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.739055,monthly,A,confirmed
2025-09-01,china_pmi,49.8,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.739010,monthly,A,confirmed
2025-10-01,china_pmi,49.0,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.738965,monthly,A,confirmed
2025-11-01,china_pmi,49.2,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.738916,monthly,A,confirmed
2025-12-01,china_pmi,50.1,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.738853,monthly,A,confirmed
2026-01-01,china_pmi,49.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.738786,monthly,A,confirmed
2026-02-01,china_pmi,49.0,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.738471,monthly,A,confirmed
2026-03-01,china_pmi,50.4,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.737459,monthly,A,confirmed
2026-04-01,china_pmi,50.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.737413,monthly,A,confirmed
2026-05-01,china_pmi,50.0,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.737358,monthly,A,confirmed
2026-06-01,china_pmi,50.3,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.737306,monthly,A,confirmed
2026-07-01,china_pmi,49.2,index,东方财富-国家统计局,https://data.eastmoney.com/cjsj/pmi.html,2026-08-18T00:04:25.737239,monthly,A,confirmed
2026-03-16,comex_inventory,171455.0,ton,金属库存监控,,2026-08-18T00:04:53.549825,daily,B,confirmed
2026-03-17,comex_inventory,172689.0,ton,金属库存监控,,2026-08-18T00:04:53.549831,daily,B,confirmed
2026-03-18,comex_inventory,173237.0,ton,金属库存监控,,2026-08-18T00:04:53.549836,daily,B,confirmed
2026-03-19,comex_inventory,169777.0,ton,金属库存监控,,2026-08-18T00:04:53.549841,daily,B,confirmed
2026-03-20,comex_inventory,173668.0,ton,金属库存监控,,2026-08-18T00:04:53.549846,daily,B,confirmed
2026-03-21,comex_inventory,171872.0,ton,金属库存监控,,2026-08-18T00:04:53.549851,daily,B,confirmed
